site,long,lat 
kitsilano_point,-123.1511,49.27807
copper_cove,-123.27969,49.37846
stanley_park_wetsuit,-123.12642,49.30311
nudibranch_point,-125.17222,48.81444
nova_harvest,-125.136168,48.831773
west_beach,-128.14788,51.6574
meay_channel,-128.09709,51.66091
trafalgar,-123.16366,49.2742
campbell_river,-125.25205,50.04632
pruth_lagoon,-128.12946,51.65644
white_rock,-122.8347,49.02481
bluestone_point,-125.16416,48.81972
strawberry_point,-125.12967,48.83244
foggy_cove,-128.14273,51.65154
north_beach,-128.13552,51.66528
strathcona_3,-122.94357,49.31846
deep_cove,-122.94356,49.3262
halfmoon_bay,-123.94733,49.50937
roberts_creek,-123.65004,49.42062
brunswick_beach,-123.24428,49.47049
lighthouse_park,-123.26519,49.33017
barnet_marine,-122.92927,49.29205
lamborghini_cove,-122.87349,49.30126
west_tsawwassen,-123.10271,49.02291
east_tsawwassen,-123.03578,49.0047
belcarra,-122.92775,49.31028
baker beach,-124.040125,49.604606
9 o clock gun,-123.11849,49.297757
prospect_point,-123.140853,49.313821
genova bay,-123.596877,48.758776
patricia bay,-123.446775,48.655775
kingfisher,-123.461576,48.696627
sidney kayak,-123.393778,48.657068
belcarra,-122.927898,49.310169
quadra,-125.261335,50.092796
peter point,-123.586457,48.82161
birds eye,-123.601696,48.801389
