site ,date,researcher,salinity,density,shore_type,year,search ,rhizo,liriopsis,gill_isopod,ovigerous,colonial_rhizo,2nd_dactyl,spp,shell_type,broken,shell_length,shell_width,shell_opening,date_my_format,note,lat,long
kits_point,2020-5-9,MA,NA,2,inland,2020,2,no,NA,no,NA,,4.9,hirsutiusculus,littorina_scutulata,NA,6.7,NA,4,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,2,no,NA,no,NA,,1.5,hirsutiusculus,littorina_scutulata,NA,6.3,NA,3.7,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,3,no,NA,no,NA,,5.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,3,no,NA,yes,NA,,5.7,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,3,no,NA,no,NA,,3.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,3,yes,no,no,NA,,5.8,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,3,no,NA,no,NA,,4.3,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,3,no,NA,no,NA,,5.8,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,4.6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,6.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,6.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,3.6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,6.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,3.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,yes,yes,no,NA,,2.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
kits_point,2020-5-9,MA,NA,2,inland,2020,4,no,NA,no,NA,,5.6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.27807,-123.1511
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,5.8,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,5.7,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,3.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,3.4,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,8.3,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,4.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,3.8,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
