site,lat,long
quadra_cove,50.11588,-125.222595
porteau_cove,49.5602,-123.23416
bedwell_bay,49.31405,-122.91975
crescent_beach,49.03889,-122.88243
third_beach,49.30587,-123.15689
tower,49.27127,-123.26143
sharon_cove,49.33923,-123.22221
navvy_jack,49.32714,-123.16859
cabin beach,48.978943,-123.534409
bamfield boat launch,48.828832,-125.127738
shore access 11,48.868114,-123.310812
